label,message
other concerning content,"COVID-19 vaccines alter your DNA."
other concerning content,"The government is controlling our minds through vaccines."
other concerning content,"This product will give you eternal youth."
other concerning content,"COVID-19 is a hoax to usher in a new world order."
other concerning content,"The moon landing was staged."
other concerning content,"This website offers free downloads of forbidden knowledge."
other concerning content,"COVID-19 is a biological weapon engineered by the government."
other concerning content,"The government is using chemtrails for population control."
other concerning content,"This product will protect you from government surveillance."
other concerning content,"COVID-19 is a scam to profit big pharma."
other concerning content,"The Earth is a simulation."
other concerning content,"This website offers free access to hidden government files."
other concerning content,"COVID-19 is a plot to control the masses."
other concerning content,"The government is hiding the truth about UFOs."
other concerning content,"This product will protect you from mind control."
other concerning content,"COVID-19 is a cover for mass surveillance."
other concerning content,"The Earth is hollow and inhabited by aliens."
other concerning content,"This website offers free access to forbidden ancient knowledge."
other concerning content,"COVID-19 is a bioweapon engineered by the deep state."
other concerning content,"The government is using HAARP for weather manipulation."
other concerning content,"This product will protect you from electromagnetic mind control."
other concerning content,"COVID-19 is a hoax perpetrated by global elites."
other concerning content,"The moon landing never happened."
other concerning content,"This website offers free access to government mind control programs."
other concerning content,"COVID-19 is a means to enforce a cashless society."
other concerning content,"The Earth is flat and surrounded by a dome."
other concerning content,"This product will protect you from alien abduction."
other concerning content,"COVID-19 is a plot to implement martial law."
other concerning content,"The government is hiding evidence of alien contact."
other concerning content,"This website offers free access to secret government experiments."
other concerning content,"COVID-19 is a cover for the rollout of 5G technology."
other concerning content,"The government is using chemtrails to poison the population."
other concerning content,"This product will protect you from government mind control experiments."
other concerning content,"COVID-19 is a ploy to confiscate firearms."
other concerning content,"The Earth is a prison planet controlled by reptilian overlords."
other concerning content,"Our country is under attack from foreign invaders."
other concerning content,"Join the fight to protect our way of life."
other concerning content,"The government is hiding the truth from you."
other concerning content,"Don't believe the lies they're feeding you."
other concerning content,"We must unite against the common enemy."
other concerning content,"Protect your family from the dangers lurking outside."
other concerning content,"Only we can save our nation from destruction."
other concerning content,"The enemy is everywhere, waiting to strike."
other concerning content,"We're fighting for freedom and justice for all."
other concerning content,"Don't let them take away your rights."
other concerning content,"They want to control every aspect of your life."
other concerning content,"Wake up and see the truth before it's too late."
other concerning content,"Our leaders are leading us to ruin."
other concerning content,"Don't trust the mainstream media's lies."
other concerning content,"Question everything you're told."
other concerning content,"The government is using fear to manipulate you."
other concerning content,"Stand up against tyranny and oppression."
other concerning content,"They're trying to divide us to conquer us."
other concerning content,"We must resist their attempts to control us."
other concerning content,"They're brainwashing you with propaganda."
other concerning content,"Expose the corruption at the highest levels."
other concerning content,"I'm afraid to ask for help."
other concerning content,"I'm carrying the weight of the world on my shoulders."
other concerning content,"I'm living in constant fear."
other concerning content,"I'm suffocating under the weight of my thoughts."
other concerning content,"I'm trapped in a never-ending cycle of despair."
other concerning content,"I'm reaching my breaking point."
other concerning content,"I'm struggling to find a reason to stay alive."
other concerning content,"I'm battling demons nobody else can see."
